	Movie_ID	Title	Year	Genre	Genre_Combined
1475	36313	Fugly	2014	Comedy/Drama	Comedy/Drama
1476	36314	Machhli Jal Ki Rani Hai	2014	Horror	Horror
1477	36315	Humshakals	2014	Comedy/Drama/Romance	Comedy/Drama/Romance
1478	36316	Ek Villain	2014	Romance/Thriller	Romance/Thriller
1479	36317	Bobby Jasoos	2014	Comedy/Drama	Comedy/Drama
1480	36318	Lekar Hum Deewana Dil	2014	Romance/Comedy	Romance/Comedy
1481	36319	Humpty Sharma Ki Dulhania	2014	Romance/Comedy	Romance/Comedy
1482	36320	Hate Story 2	2014	Thriller	Thriller
1483	36321	Bazaar-E-Husn	2014	Drama	Drama
1484	36322	Riyasat	2014	Drama/Action	Drama/Action
1485	36323	Amit Sahni Ki List	2014	Romance/Comedy	Romance/Comedy
1486	36324	Pizza	2014	Horror	Horror
1487	36325	Kick	2014	Action/Comedy	Action/Comedy
1488	36326	Entertainment	2014	Comedy	Comedy
1489	36327	Singham Returns	2014	Action	Action
1490	36328	Life is Beautiful!	2014	Romance	Romance
1491	36329	Mad About Dance	2014	Dance	Dance
1492	36330	Mardaani	2014	Drama/Action	Drama/Action
1493	36331	Mumbhai Connection	2014	Comedy	Comedy
1494	36332	Raja Natwarlal	2014	Thriller	Thriller
1495	36333	Mary Kom	2014	Drama	Drama
1496	36334	Creature	2014	Horror	Horror
1497	36335	Finding Fanny	2014	Comedy/Drama	Comedy/Drama
1498	36336	Daawat-e-Ishq	2014	Comedy/Drama	Comedy/Drama
1499	36337	Khoobsurat	2014	Romance/Comedy	Romance/Comedy
1500	36338	3 A.M.	2014	Horror	Horror
1501	36339	Chaarfutiya Chhokare	2014	Thriller	Thriller
1502	36340	Desi Kattey	2014	Drama/Action	Drama/Action
1503	36341	Meinu Ek Ladki Chaahiye	2014	Social satire	Social satire
1504	36342	Balwinder Singh Famous Ho Gaya	2014	Comedy	Comedy
1505	36343	Bang Bang!	2014	Action	Action
1506	36344	Haider	2014	Drama	Drama
1507	36345	Spark	2014	Drama	Drama
1508	36346	Jigariyaa	2014	Romance	Romance
1509	36347	Ekkees Toppon Ki Salaami	2014	Political Satire	Political Satire
1510	36348	Tamanchey	2014	Crime/Romance	Crime/Romance
1511	36349	Mumbai 125 KM	2014	Horror	Horror
1512	36350	Sonali Cable	2014	Comedy/Drama	Comedy/Drama
1513	36351	Happy New Year	2014	Action/Comedy	Action/Comedy
1514	36352	Fireflies	2014	Drama	Drama
1515	36353	Roar: Tigers of the Sunderbans	2014	Drama/Action	Drama/Action
1516	36354	Super Nani	2014	Drama	Drama
1517	36355	Rang Rasiya	2014	Drama	Drama
1518	36356	A Decent Arrangement	2014	Drama	Drama
1519	36357	The Shaukeens	2014	Comedy	Comedy
1520	36358	6 - 5 = 2	2014	Found footage / Horror	Found footage / Horror
1521	36359	Kill Dil	2014	Romance/Drama	Romance/Drama
1522	36360	Gollu Aur Pappu	2014	Comedy	Comedy
1523	36361	Happy Ending	2014	Romance/Comedy	Romance/Comedy
1524	36362	Titoo MBA	2014	Romance/Comedy	Romance/Comedy
1525	36363	Wah Taj	2014	Drama	Drama
1526	36364	Hum Hai Teen Khurafaati	2014	Comedy	Comedy
1527	36365	Ungli	2014	Drama	Drama
1528	36366	Zed Plus	2014	Drama	Drama
1529	36367	Zid	2014	Erotica/Thriller	Erotica/Thriller
1530	36368	Action Jackson	2014	Comedy	Comedy
1531	36369	Bhopal: A Prayer for Rain	2014	Drama	Drama
1532	36370	Mumbai Delhi Mumbai	2014	Drama	Drama
1533	36371	Sulemani Keeda	2014	Social/Drama	Social/Drama
1534	36372	Badlapur Boys	2014	Sports	Sports
1535	36373	Life Mein Twist Hai	2014	Drama/Romance	Drama/Romance
1536	36374	LUV...Phir Kabhie	2014	Drama	Drama
